googlenet, car_truck_suv_side, 2, 25,  tow truck- tow car- wrecker - car, 39.0
googlenet, car_truck_suv_side, 2, 10,  pickup- pickup truck - car, 64.0
googlenet, car_truck_suv_side, 2, 45,  minivan - car, 28.0
googlenet, street_sign, 1, 5,  street sign, 82.0
googlenet, street_sign, 1, 30,  traffic light- traffic signal- stoplight, 4.0
googlenet, street_sign, 1, 20
googlenet, street_sign, 1, 40,  street sign, 3.0
googlenet, street_sign, 1, 50,  traffic light- traffic signal- stoplight, 4.0
googlenet, street_sign, 1, 15,  street sign, 21.0
googlenet, street_sign, 1, 35,  street sign, 2.0
googlenet, street_sign, 1, 25,  traffic light- traffic signal- stoplight, 3.0
googlenet, street_sign, 1, 10,  street sign, 94.0
googlenet, street_sign, 1, 45,  traffic light- traffic signal- stoplight, 11.0
googlenet, street_sign, 3, 5,  street sign, 99.0
googlenet, street_sign, 3, 30,  traffic light- traffic signal- stoplight, 3.0
googlenet, street_sign, 3, 20,  street sign, 11.0
googlenet, street_sign, 3, 40,  street sign, 1.0
googlenet, street_sign, 3, 50
googlenet, street_sign, 3, 15,  street sign, 11.0
googlenet, street_sign, 3, 35,  traffic light- traffic signal- stoplight, 6.0
googlenet, street_sign, 3, 25,  street sign, 1.0
googlenet, street_sign, 3, 10,  street sign, 20.0
googlenet, street_sign, 3, 45
googlenet, street_sign, 2, 5,  street sign, 52.0
googlenet, street_sign, 2, 30,  street sign, 2.0
googlenet, street_sign, 2, 20,  street sign, 4.0
googlenet, street_sign, 2, 40
googlenet, street_sign, 2, 50,  street sign, 2.0
googlenet, street_sign, 2, 15,  street sign, 28.0
googlenet, street_sign, 2, 35,  street sign, 5.0
googlenet, street_sign, 2, 25
googlenet, street_sign, 2, 10,  street sign, 57.0
googlenet, street_sign, 2, 45,  street sign, 6.0
